title,genre_name,channel_name
알 수도 있는 사람,"로맨스, 드라마","네이버TV, JTBC 온라인"
애간장 (드라마),로맨스,OCN
애타는 로맨스,로맨스,"OCN, 라이프타임"
야한(夜限) 사진관,"판타지, 로맨스, 드라마",ENA
어쨌든 서른,"드라마, 로맨스, 성장, 청춘",Dramax
어쩌다 전원일기,로맨스,
언어의 온도 : 우리의 열아홉,"로맨스, 웹드라마","V LIVE, 네이버TV, 유튜브"
언제나 봄날,"로맨스, 드라마",MBC
얼어죽을 연애따위,"로맨스, 드라마",ENA
에이틴 (드라마),"웹드라마, 학원물, 로맨스","V LIVE, 네이버TV, 유튜브, 페이스북"
에이틴 2,"로맨스, 웹드라마","V LIVE, 네이버TV, 유튜브, 페이스북"
여름향기,"로맨스, 멜로, 휴머니즘",KBS 2TV
연애결혼,로맨스,KBS 2TV
연애시대 (드라마),"로맨스, 멜로",SBS TV
연애혁명 (드라마),"개그, 로맨스, 드라마",카카오TV
열두밤,로맨스,채널A
열일곱 (드라마),"로맨스, 웹드라마","네이버TV, 페이스북, 유튜브"
영광의 재인,"로맨스, 가족, 멜로, 스포츠 로코 드라마",KBS 2TV
옐로우 (드라마),"로맨스, 웹드라마","네이버TV, 유튜브, 페이스북"
오! 삼광빌라!,"로맨스, 드라마",KBS2
오! 필승 봉순영,"로맨스, 로코 드라마",KBS 2TV
오월의 청춘,"로맨스, 시대극, 멜로, 휴머니즘",KBS 2TV
오케이 광자매,"로맨스, 드라마",KBS2
요조숙녀,로맨스,SBS
우리 헤어졌어요,"로맨스, 드라마",네이버TV
우리가 만난 기적,"힐링, 판타지, 멜로, 가족, 로맨스",KBS 2TV
월간 집,"드라마, 로맨스",JTBC
웨딩 (드라마),"로맨스, 드라마",KBS 2TV
웰컴투 삼달리,"로맨스, 코미디, 가족, 드라마",JTBC
유별나! 문셰프,"로맨스, 드라마",채널A
유혹 (2014년 드라마),"로맨스, 멜로, 드라마, 에로 드라마",SBS
은중과 상연,"드라마, 로맨스",넷플릭스
이두나! (드라마),로맨스,넷플릭스
이런 꽃 같은 엔딩,"로맨스, 웹드라마",MBC
이벤트를 확인하세요,"로맨스, 코미디",MBC TV
20세기 소년소녀,감성 로맨스,MBC
인간실격 (드라마),로맨스,JTBC
인사이더 (드라마),"로맨스, 범죄, 액션, 서스펜스, 느와르",JTBC
인순이는 예쁘다,"로맨스, 로코 드라마",KBS 2TV
인연만들기,"로맨스, 드라마",MBC
장난스런 키스 (드라마),"로맨스, 청춘 드라마",MBC
저녁 같이 드실래요? (드라마),로맨스,MBC
적도의 남자,"로맨스, 멜로, 서스펜스",KBS 2TV
주홍글씨 (드라마),"로맨스, 드라마, 피카레스크",MBC
"지금, 헤어지는 중입니다","멜로, 로맨스",SBS TV
진심이 닿다,"로맨스, 드라마",tvN
찌질의 역사 (2025년 드라마),로맨스,"Wavve, 왓챠"
천만번 사랑해,로맨스,"SBS, SBS HD, 디지털 텔레비전, SBS, 아날로그 텔레비전"
천하무적 이평강,"로맨스, 드라마",KBS 2TV
첫사랑 (2003년 드라마),"로맨스, 멜로",SBS
첫사랑은 처음이라서,"로맨스, 로맨틱 코미디성인식",넷플릭스
청춘기록,"청춘 성장, 로맨스, 드라마","TVN, Netflix"
체크인 한양,"사극, 로맨스, 코미디",채널A
최고의 엔딩,"로맨스, 웹드라마","네이버TV, 유튜브, 페이스북"
최고의 이혼 (2018년 드라마),"로맨스, 드라마",KBS2
최종병기 앨리스,"액션, 로맨스",왓챠
추리의 여왕,"로맨스, 범죄, 미스터리, 추리, 서스펜스",KBS 2TV
추리의 여왕 2,"로맨스, 범죄, 미스터리, 추리, 서스펜스",KBS 2TV
춘화연애담,"가상역사극, 로맨스, 청춘, 정치",TVING
취하는 로맨스,로맨스,ENA
쾌걸춘향,"로맨스, 로코 드라마",KBS 2TV
크레이지 러브 (드라마),"로맨스, 로맨틱, 코미디, 복수",KBS 2TV
키스 먼저 할까요,"로맨스, 멜로",SBS
키스 식스 센스,"로맨스, 판타지",디즈니+
타임테이블 (드라마),"로맨스, 웹드라마",유튜브
탄금,"로맨스, 미스터리, 사극",넷플릭스
탑 매니지먼트 (웹드라마),"로맨스, 드라마, 판타지",유튜브 프리미엄
태양의 후예,"액션, 멜로, 로맨스, 휴머니즘",KBS 2TV
터치 (2020년 드라마),"로맨스, 드라마",채널A
투깝스,"판타지, 수사물, 로맨스, 범죄",MBC
트렁크 (드라마),"로맨스, 미스터리, 드라마",넷플릭스
평일 오후 세시의 연인,"로맨스, 드라마",채널A
포레스트 (드라마),"메디컬, 로맨스",KBS 2TV
폭싹 속았수다,"드라마, 로맨스",넷플릭스
퐁당퐁당 Love,"로맨스, 드라마","MBC, 네이버 TV캐스트"
프렌즈 (2002년 드라마),"드라마, 가족, 로맨스","MBC, TBS"
프로듀사,"로맨스, 드라마, 예능",KBS 2TV
